series,ks_stat,p_value,train_mean,test_mean,mean_shift,train_std,test_std,significant_p05
HOUSTMW,0.8219,0.0,5.7069,5.0781,-0.6288,0.2793,0.2901,True
PERMITMW,0.7042,0.0,5.603,5.1521,-0.4509,0.2907,0.2541,True
TB3SMFFM,0.634,0.0,-0.598,-0.028,0.57,0.8026,0.1361,True
CES0600000007,0.6305,0.0,40.1167,40.9258,0.809,0.5785,0.4352,True
HOUSTNE,0.5817,0.0,5.2254,4.6697,-0.5557,0.3416,0.3108,True
AWHMAN,0.5563,0.0,40.5524,41.4366,0.8841,0.6711,0.5466,True
PERMITNE,0.5355,0.0,5.2088,4.7768,-0.432,0.3297,0.296,True
TB6SMFFM,0.4655,0.0,-0.4342,0.0268,0.461,0.8826,0.2516,True
USFIRE,0.4424,0.0,0.0024,0.0009,-0.0015,0.0017,0.0026,True
HOUST,0.4367,0.0,7.2966,7.0175,-0.2791,0.2131,0.3081,True
SRVPRD,0.4329,0.0,0.0023,0.001,-0.0013,0.0017,0.0113,True
USGOVT,0.3487,0.0,0.0019,0.0002,-0.0017,0.0028,0.0046,True
HOUSTW,0.3381,0.0,5.8526,5.5684,-0.2843,0.2866,0.3711,True
USTRADE,0.3314,0.0,0.0021,0.0004,-0.0017,0.0031,0.0122,True
PAYEMS,0.3275,0.0,0.0019,0.001,-0.0008,0.0023,0.011,True
PERMITW,0.3132,0.0,5.8558,5.6245,-0.2313,0.2946,0.3653,True
FEDFUNDS,0.2992,0.0,0.0059,0.0181,0.0123,0.6122,0.1475,True
USWTRADE,0.2949,0.0,0.0017,0.0006,-0.0011,0.0024,0.0053,True
AAAFFM,0.29,0.0,1.4646,2.6205,1.1559,1.8561,1.5271,True
BAAFFM,0.2798,0.0,2.451,3.5461,1.095,1.9145,1.5873,True
T1YFFM,0.2707,0.0,0.0421,0.1076,0.0656,0.9025,0.3625,True
TB6MS,0.259,0.0,0.0047,0.0173,0.0126,0.4699,0.1511,True
HWI,0.2547,0.0,7.5184,22.2371,14.7187,116.7527,339.2281,True
USTPU,0.253,0.0,0.0018,0.0008,-0.001,0.0024,0.0093,True
TB3MS,0.2491,0.0,0.0051,0.0183,0.0132,0.4988,0.1509,True
PERMITS,0.2435,0.0,6.247,6.4088,0.1617,0.3241,0.3379,True
GS1,0.2404,0.0,0.0047,0.016,0.0113,0.49,0.1605,True
COMPAPFFx,0.2361,0.0,0.105,0.1262,0.0212,0.5034,0.1809,True
OILPRICEx,0.2333,0.0,0.0001,0.0006,0.0005,0.0864,0.1281,True
CP3Mx,0.2329,0.0,0.0054,0.0302,0.0248,0.5873,0.1994,True
DPCERA3M086SBEA,0.23,0.0,0.003,0.0021,-0.001,0.0058,0.0126,True
IPFPNSS,0.226,0.0,0.0029,0.0003,-0.0027,0.0076,0.0138,True
BUSINVx,0.2223,0.0,0.0053,0.0037,-0.0016,0.0056,0.0053,True
IPMANSICS,0.2221,0.0,0.0031,0.0004,-0.0027,0.0095,0.0155,True
USCONS,0.2157,0.0,0.0017,0.002,0.0003,0.0102,0.0123,True
ISRATIOx,0.2143,0.0,-0.0003,0.0004,0.0007,0.0185,0.0271,True
UEMPMEAN,0.2122,0.0,-0.0053,-0.0177,-0.0124,0.4893,1.4465,True
USGOOD,0.1964,0.0,0.0005,0.001,0.0004,0.0049,0.0095,True
IPDMAT,0.1958,0.0,0.0036,0.0013,-0.0023,0.0189,0.0192,True
IPFINAL,0.1942,0.0,0.003,0.0002,-0.0028,0.0082,0.0155,True
RPI,0.1936,0.0,0.003,0.0022,-0.0008,0.0047,0.0217,True
MANEMP,0.192,0.0001,0.0003,0.0005,0.0002,0.0049,0.0084,True
INDPRO,0.1901,0.0001,0.0029,0.0008,-0.0021,0.0085,0.0133,True
CPITRNSL,0.1888,0.0001,0.0,0.0,-0.0,0.0062,0.0139,True
DMANEMP,0.1887,0.0001,0.0004,0.0006,0.0002,0.0069,0.0094,True
S&P div yield,0.1882,0.0001,-0.0042,-0.0048,-0.0006,0.1325,0.0639,True
EXJPUSx,0.1871,0.0001,-0.0026,0.0028,0.0054,0.0238,0.0219,True
WPSID61,0.1861,0.0001,-0.0,0.0001,0.0001,0.0058,0.009,True
EXCAUSx,0.1813,0.0002,0.0008,0.0013,0.0005,0.009,0.0159,True
BOGMBASE,0.1804,0.0002,0.0001,-0.0,-0.0001,0.012,0.0301,True
CMRMTSPLx,0.1804,0.0002,0.0027,0.0019,-0.0009,0.0123,0.0142,True
NONREVSL,0.1803,0.0002,-0.0,-0.0,-0.0,0.0074,0.0095,True
IPNCONGD,0.1769,0.0003,0.0021,-0.0002,-0.0023,0.0073,0.0082,True
RETAILx,0.1753,0.0003,0.0055,0.004,-0.0015,0.0125,0.0219,True
IPCONGD,0.1743,0.0004,0.0024,0.0,-0.0024,0.0093,0.0141,True
DTCOLNVHFNM,0.1705,0.0005,0.0001,0.0,-0.0,0.021,0.0336,True
CUSR0000SAS,0.1666,0.0008,-0.0,0.0,0.0,0.003,0.0013,True
CLF16OV,0.1659,0.0008,0.0015,0.0006,-0.0009,0.0028,0.004,True
DTCTHFNM,0.1599,0.0014,0.0,0.0,0.0,0.0119,0.0405,True
T10YFFM,0.1593,0.0015,0.7623,1.1905,0.4281,1.6968,1.2277,True
T5YFFM,0.1582,0.0016,0.6025,0.6418,0.0393,1.4908,0.9016,True
EXUSUKx,0.1579,0.0017,-0.0011,-0.0009,0.0002,0.0214,0.0189,True
NDMANEMP,0.1579,0.0017,0.0001,0.0003,0.0003,0.003,0.0069,True
M1SL,0.1573,0.0018,0.0,0.0002,0.0002,0.0047,0.0138,True
HWIURATIO,0.1569,0.0018,0.0011,0.0041,0.003,0.0322,0.0791,True
WPSFD49502,0.1569,0.0018,0.0,0.0,0.0,0.0069,0.0123,True
WPSFD49207,0.1563,0.0019,-0.0,0.0,0.0,0.0055,0.0091,True
WPSID62,0.156,0.002,-0.0001,0.0,0.0001,0.0299,0.0422,True
