pipeline,cluster,n_months,metric,n_valid_resamples,mean_value,std_value,stable,jaccard_threshold,n_bootstrap,resample_frac,pr_jaccard_ge_060
pca_hdbscan,0,6,jaccard,100,0.1754,0.329,False,0.6,100,0.8,0.0984
pca_hdbscan,1,5,jaccard,100,0.1124,0.1616,False,0.6,100,0.8,0.0013
pca_hdbscan,10,11,jaccard,100,0.2404,0.165,False,0.6,100,0.8,0.0147
pca_hdbscan,11,7,jaccard,100,0.1119,0.0778,False,0.6,100,0.8,0.0
pca_hdbscan,12,7,jaccard,100,0.1271,0.084,False,0.6,100,0.8,0.0
pca_hdbscan,13,8,jaccard,100,0.1293,0.0833,False,0.6,100,0.8,0.0
pca_hdbscan,14,8,jaccard,100,0.1187,0.0712,False,0.6,100,0.8,0.0
pca_hdbscan,15,6,jaccard,100,0.132,0.1214,False,0.6,100,0.8,0.0001
pca_hdbscan,2,8,jaccard,100,0.2167,0.1418,False,0.6,100,0.8,0.0034
pca_hdbscan,3,7,jaccard,100,0.2051,0.1286,False,0.6,100,0.8,0.0011
pca_hdbscan,4,11,jaccard,100,0.2414,0.1694,False,0.6,100,0.8,0.0171
pca_hdbscan,5,9,jaccard,100,0.1744,0.1222,False,0.6,100,0.8,0.0002
pca_hdbscan,6,6,jaccard,100,0.1081,0.0739,False,0.6,100,0.8,0.0
pca_hdbscan,7,11,jaccard,100,0.1358,0.0662,False,0.6,100,0.8,0.0
pca_hdbscan,8,7,jaccard,100,0.1091,0.0634,False,0.6,100,0.8,0.0
pca_hdbscan,9,5,jaccard,100,0.1219,0.1003,False,0.6,100,0.8,0.0
pca_hdbscan,all,185,ari,100,0.0449,0.0277,False,0.6,100,0.8,
pca_kmeans,0,12,jaccard,100,0.5128,0.1185,False,0.6,100,0.8,0.2309
pca_kmeans,1,34,jaccard,100,0.6529,0.12,True,0.6,100,0.8,0.6703
pca_kmeans,2,13,jaccard,100,0.1021,0.0173,False,0.6,100,0.8,0.0
pca_kmeans,3,126,jaccard,100,0.6679,0.1407,True,0.6,100,0.8,0.6853
pca_kmeans,all,185,ari,100,0.4501,0.1334,False,0.6,100,0.8,
