encoder,cell,source,indicator,f1,auc_roc,precision,recall
iTransformer,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,chauvet_piger,0.0984,0.4975,0.25,0.0612
iTransformer,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,sahm,0.5185,0.7186,0.5833,0.4667
iTransformer,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,cfnai_ma3,0.5,0.9779,0.3333,1.0
iTransformer,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,oecd_cli,0.1075,0.4972,0.4167,0.0617
iTransformer,pca_kmeans,c1_multi_label_pca_kmeans_locked.csv,composite_majority_vote,0.2041,,0.4167,0.1351
iTransformer,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,chauvet_piger,0.1739,0.5098,0.3,0.1224
iTransformer,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,sahm,0.4,0.6951,0.35,0.4667
iTransformer,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,cfnai_ma3,0.25,0.828,0.15,0.75
iTransformer,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,oecd_cli,0.1386,0.4807,0.35,0.0864
iTransformer,pca_hdbscan,c1_multi_label_pca_hdbscan_locked.csv,composite_majority_vote,0.2105,,0.3,0.1622
iTransformer,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,chauvet_piger,0.2667,0.5158,0.2927,0.2449
iTransformer,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,sahm,0.2143,0.5971,0.1463,0.4
iTransformer,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,cfnai_ma3,0.1778,0.8978,0.0976,1.0
iTransformer,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,oecd_cli,0.2951,0.5005,0.439,0.2222
iTransformer,umap_kmeans,c1_multi_label_umap_kmeans_locked.csv,composite_majority_vote,0.2821,,0.2683,0.2973
iTransformer,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,chauvet_piger,0.0,0.5,0.0,0.0
iTransformer,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,sahm,0.0,0.5,0.0,0.0
iTransformer,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,cfnai_ma3,0.0,0.5,0.0,0.0
iTransformer,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,oecd_cli,0.0,0.5,0.0,0.0
iTransformer,umap_hdbscan,c1_multi_label_umap_hdbscan_locked.csv,composite_majority_vote,0.0,,0.0,0.0
iTransformer,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,chauvet_piger,0.3826,0.5627,0.3333,0.449
iTransformer,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,sahm,0.2222,0.6324,0.1364,0.6
iTransformer,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,cfnai_ma3,0.1143,0.8287,0.0606,1.0
iTransformer,tsne_kmeans,c1_multi_label_tsne_kmeans_locked.csv,oecd_cli,0.4082,0.5121,0.4545,0.3704
