encoder,cell,is_best_cell_on_val,val_nber_f1,val_sahm_f1,val_cfnai_f1,nber_assignment,dbcv,test_silhouette,n_clusters_test,noise_fraction_test,nber_f1_locked,nber_precision_locked,nber_recall_locked,c1_chauvet_f1,c1_sahm_f1,c1_cfnai_f1,c1_oecd_f1,c1_chauvet_auc,c1_sahm_auc,c1_cfnai_auc,c1_oecd_auc,c3_indpro_f1,c3_payems_f1,c3_unrate_f1,c4_ari
iTransformer,pca_kmeans,False,0.7347,0.7541,0.6341,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.1681,4.0,0.0,0.5714,0.3333,2.0,0.0984,0.5185,0.5,0.1075,0.4975,0.7186,0.9779,0.4972,0.4211,0.4082,0.2419,0.4501
windowed_pca,pca_kmeans,False,0.9677,0.8108,0.6667,"{0: 0, 1: 0, 2: 1}",,0.5005,4.0,0.0,0.0952,0.05,1.0,0.0,0.2182,0.0909,0.2314,0.3561,0.6023,0.6473,0.466,0.4364,0.2353,0.3636,0.3691
raw_pca,pca_kmeans,True,0.766,0.678,0.7692,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3119,4.0,0.0,0.4444,0.2857,1.0,0.0702,0.1818,0.3636,0.0682,0.502,0.5523,0.7365,0.5,0.2442,0.2807,0.2658,0.0483
linear_ae,pca_kmeans,True,0.9153,0.7887,0.6275,"{0: 0, 1: 1, 2: 0, 3: 1}",,0.46,3.0,0.0,0.1739,0.0909,2.0,0.0426,0.2034,0.1667,0.24,0.3689,0.5908,0.8919,0.4583,0.4078,0.3191,0.3636,0.3894
mlp_ae,pca_kmeans,True,0.7536,0.8148,0.4918,"{0: 0, 1: 1, 2: 0, 3: 1}",,0.198,4.0,0.0,0.0696,0.0354,2.0,0.3804,0.1406,0.0684,0.4433,0.515,0.5011,0.7054,0.4414,0.2166,0.433,0.1818,0.0758
svd,pca_kmeans,True,0.9677,0.8108,0.6667,"{0: 0, 1: 0, 2: 1}",,0.5005,4.0,0.0,0.0952,0.05,1.0,0.0,0.2182,0.0909,0.2314,0.3561,0.6023,0.6473,0.466,0.4364,0.2353,0.3636,0.3637
bocpd,pca_kmeans,False,0.2424,0.0889,0.16,"{1: 0, 2: 1, 3: 0}",,0.9647,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.4568,0.4655,0.4676,0.5093,0.0,0.2,0.2857,0.7377
hamilton_hmm,pca_kmeans,False,0.6923,0.6667,0.4571,"{0: 1, 1: 0, 3: 0}",,0.6729,4.0,0.0,0.0635,0.0328,1.0,0.1441,0.1579,0.0615,0.3803,0.3894,0.542,0.5905,0.5093,0.2344,0.2791,0.2,0.848
moment,pca_kmeans,False,0.4091,0.3214,0.3889,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3209,4.0,0.0,0.129,0.069,1.0,0.3038,0.2273,0.1212,0.3091,0.5588,0.5977,0.677,0.5494,0.4118,0.4746,0.325,0.4416
patchtst,pca_kmeans,False,0.3636,0.2687,0.2979,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.3424,4.0,0.0,0.093,0.0488,1.0,0.1758,0.1429,0.0889,0.2623,0.4613,0.527,0.6446,0.483,0.4396,0.4565,0.3509,0.6032
tfc,pca_kmeans,False,0.7385,0.7013,0.5614,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.1318,4.0,0.0,0.129,0.0667,2.0,0.3818,0.32,0.125,0.5248,0.5697,0.7621,0.8486,0.6219,0.3863,0.5532,0.3353,0.2641
timesnet,pca_kmeans,False,0.6222,0.5965,0.5946,"{0: 1, 1: 0, 2: 0, 3: 1}",,0.3292,3.0,0.0,0.027,0.0139,0.5,0.1148,0.1379,0.0263,0.2614,0.3362,0.5103,0.4331,0.3827,0.1111,0.2609,0.125,0.2603
ts2vec,pca_kmeans,False,0.2857,0.383,0.2222,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.255,4.0,0.0,0.0,0.0,0.0,0.3846,0.0,0.0,0.554,0.5011,0.1207,0.1432,0.5262,0.1622,0.25,0.1935,0.0842
