encoder,cell,is_best_cell_on_val,val_nber_f1,val_sahm_f1,val_cfnai_f1,nber_assignment,dbcv,test_silhouette,n_clusters_test,noise_fraction_test,nber_f1_locked,nber_precision_locked,nber_recall_locked,c1_chauvet_f1,c1_sahm_f1,c1_cfnai_f1,c1_oecd_f1,c1_chauvet_auc,c1_sahm_auc,c1_cfnai_auc,c1_oecd_auc,c3_indpro_f1,c3_payems_f1,c3_unrate_f1,c4_ari
iTransformer,pca_kmeans,False,0.7347,0.7541,0.6341,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.1681,4.0,0.0,0.5714,0.3333,2.0,0.0984,0.5185,0.5,0.1075,0.4975,0.7186,0.9779,0.4972,0.4211,0.4082,0.2419,0.4501
iTransformer,pca_hdbscan,False,0.6809,0.6102,0.6154,"{-1: 0, 0: 1, 1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0.1656,0.0367,16.0,0.3405,0.2727,0.15,1.5,0.1739,0.4,0.25,0.1386,0.5098,0.6951,0.828,0.4807,0.4114,0.4973,0.3353,0.0449
iTransformer,umap_kmeans,True,0.8621,0.7714,0.68,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.3215,4.0,0.0,0.186,0.0976,2.0,0.2667,0.2143,0.1778,0.2951,0.5158,0.5971,0.8978,0.5005,0.383,0.4468,0.2195,
iTransformer,umap_hdbscan,False,0.6957,0.6897,0.6316,"{-1: 0, 0: 0, 1: 0, 2: 1}",0.1225,0.1978,2.0,0.3622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4842,0.5882,0.3256,
iTransformer,tsne_kmeans,False,0.8235,0.75,0.5667,"{0: 0, 1: 1, 2: 0, 3: 0}",,0.3481,4.0,0.0,0.1176,0.0606,2.0,0.3826,0.2222,0.1143,0.4082,0.5627,0.6324,0.8287,0.5121,0.48,0.5385,0.3478,
iTransformer,tsne_hdbscan,False,0.6667,0.6316,0.5946,"{-1: 0, 0: 0, 1: 0, 2: 1, 3: 0}",0.061,0.1915,2.0,0.3027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4444,0.4828,0.381,
windowed_pca,pca_kmeans,False,0.9677,0.8108,0.6667,"{0: 0, 1: 0, 2: 1}",,0.5005,4.0,0.0,0.0952,0.05,1.0,0.0,0.2182,0.0909,0.2314,0.3561,0.6023,0.6473,0.466,0.4364,0.2353,0.3636,0.3691
windowed_pca,pca_hdbscan,False,0.4615,0.5098,0.4516,"{-1: 0, 0: 1, 1: 0, 2: 0, 3: 0}",0.3061,0.3759,6.0,0.0952,0.0,0.0,0.0,0.2,0.2286,0.0,0.297,0.5232,0.5874,0.4459,0.5694,0.2791,0.4211,0.25,0.2334
windowed_pca,umap_kmeans,False,0.8421,0.8696,0.6122,"{0: 0, 2: 0, 3: 1}",,0.8013,3.0,0.0,0.0612,0.0312,1.5,0.2466,0.1081,0.06,0.4068,0.3994,0.4414,0.6236,0.4444,0.4615,0.3,0.3509,
windowed_pca,umap_hdbscan,False,0.0,0.0,0.0,{-1: 0},0.684,0.7766,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.3478,0.2353,0.1429,
