encoder,cell,is_best_cell_on_val,val_nber_f1,val_sahm_f1,val_cfnai_f1,nber_assignment,dbcv,test_silhouette,n_clusters_test,noise_fraction_test,nber_f1_locked,nber_precision_locked,nber_recall_locked,c1_chauvet_f1,c1_sahm_f1,c1_cfnai_f1,c1_oecd_f1,c1_chauvet_auc,c1_sahm_auc,c1_cfnai_auc,c1_oecd_auc,c3_indpro_f1,c3_payems_f1,c3_unrate_f1,c4_ari
iTransformer,umap_kmeans,True,0.8621,0.7714,0.68,"{0: 0, 1: 0, 2: 1, 3: 0}",,0.3215,4.0,0.0,0.186,0.0976,2.0,0.2667,0.2143,0.1778,0.2951,0.5158,0.5971,0.8978,0.5005,0.383,0.4468,0.2195,
windowed_pca,tsne_hdbscan,True,0.9667,0.8056,0.6923,"{-1: 0, 0: 1, 1: 1, 2: 0, 3: 0, 4: 0}",0.1903,0.616,5.0,0.0159,0.0,0.0,0.0,0.2276,0.0,0.0,0.4416,0.4278,0.2902,0.3027,0.5293,0.5634,0.2353,0.3636,
raw_pca,pca_kmeans,True,0.766,0.678,0.7692,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3119,4.0,0.0,0.4444,0.2857,1.0,0.0702,0.1818,0.3636,0.0682,0.502,0.5523,0.7365,0.5,0.2442,0.2807,0.2658,0.0483
linear_ae,pca_kmeans,True,0.9153,0.7887,0.6275,"{0: 0, 1: 1, 2: 0, 3: 1}",,0.46,3.0,0.0,0.1739,0.0909,2.0,0.0426,0.2034,0.1667,0.24,0.3689,0.5908,0.8919,0.4583,0.4078,0.3191,0.3636,0.3894
mlp_ae,pca_kmeans,True,0.7536,0.8148,0.4918,"{0: 0, 1: 1, 2: 0, 3: 1}",,0.198,4.0,0.0,0.0696,0.0354,2.0,0.3804,0.1406,0.0684,0.4433,0.515,0.5011,0.7054,0.4414,0.2166,0.433,0.1818,0.0758
svd,pca_kmeans,True,0.9677,0.8108,0.6667,"{0: 0, 1: 0, 2: 1}",,0.5005,4.0,0.0,0.0952,0.05,1.0,0.0,0.2182,0.0909,0.2314,0.3561,0.6023,0.6473,0.466,0.4364,0.2353,0.3636,0.3637
bocpd,tsne_hdbscan,True,0.8889,0.6667,0.6957,"{0: 1, 1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1, 15: 0}",0.93,0.968,19.0,0.0,0.0408,0.0213,0.5,0.3505,0.0,0.0392,0.3906,0.5621,0.3649,0.5007,0.5525,0.3478,0.4773,0.4615,
hamilton_hmm,umap_kmeans,True,0.7324,0.6988,0.5079,"{0: 1, 1: 0, 3: 0}",,0.6222,4.0,0.0,0.04,0.0208,0.5,0.0612,0.127,0.0385,0.3101,0.3681,0.5069,0.498,0.4938,0.4138,0.5788,0.202,
moment,tsne_kmeans,True,0.4231,0.4063,0.3182,"{0: 0, 1: 0, 2: 0, 3: 1}",,0.4174,4.0,0.0,0.093,0.0488,1.0,0.3956,0.1429,0.0889,0.3934,0.5973,0.527,0.6446,0.5694,0.4321,0.4606,0.2953,
patchtst,tsne_kmeans,True,0.3846,0.25,0.3182,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.3979,4.0,0.0,0.1053,0.0556,1.0,0.186,0.1569,0.1,0.2393,0.4793,0.5414,0.6581,0.4846,0.4469,0.4725,0.3452,
tfc,umap_kmeans,True,0.8679,0.7692,0.7111,"{0: 1, 1: 0, 2: 0, 3: 0}",,0.6202,4.0,0.0,0.1538,0.0811,1.5,0.2299,0.3462,0.1463,0.2881,0.5029,0.7195,0.7831,0.5123,0.4641,0.6667,0.3038,
timesnet,tsne_hdbscan,True,0.7907,0.5455,0.8571,"{-1: 0, 0: 0, 1: 1, 2: 0, 3: 1, 4: 0}",0.3401,0.5752,2.0,0.0,0.0492,0.025,1.5,0.3765,0.0296,0.0484,0.5373,0.5035,0.2276,0.5588,0.5278,0.0,0.0,0.0,
ts2vec,tsne_hdbscan,True,0.7556,0.5965,0.6486,"{-1: 0, 0: 0, 1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1}",0.5862,0.4204,3.0,0.0,0.0,0.0,0.0,0.313,0.225,0.0,0.3699,0.5109,0.6391,0.3243,0.4907,0.2222,0.2,0.2857,
